id,p_a,p_b,p_c,p_d,answer
test_0001.jpg,0.00015841809,0.00010887907,5.420769e-06,0.9997272,d
test_0002.jpg,0.11837828,0.8747038,0.0010241729,0.0058937077,b
test_0003.jpg,2.9022667e-06,9.42228e-07,0.9999814,1.4738925e-05,c
test_0004.jpg,0.99973494,0.00020341444,5.1431227e-05,1.0127408e-05,a
test_0005.jpg,0.00055252766,0.99899346,0.00029574675,0.00015830182,b
test_0006.jpg,0.00033240757,0.990893,0.008572904,0.00020161539,b
test_0007.jpg,0.99998784,4.2228e-06,3.726608e-06,4.2228e-06,a
test_0008.jpg,5.421832e-06,0.9999232,4.006222e-05,3.1200492e-05,b
test_0009.jpg,0.0039787963,0.010815491,0.31607497,0.6691307,d
test_0010.jpg,7.888913e-06,0.9999479,1.300662e-05,3.120126e-05,b
test_0011.jpg,0.004606733,0.0005501958,6.5711516e-05,0.9947773,d
test_0012.jpg,8.2332235e-08,0.9999969,1.2098634e-06,1.7603409e-06,b
test_0013.jpg,0.99980754,3.119688e-05,2.1441281e-05,0.00013981471,a
test_0014.jpg,0.01295594,0.90828156,0.07455629,0.0042061787,b
test_0015.jpg,0.004729809,0.00068139355,0.2926229,0.70196587,d
test_0016.jpg,1.4737805e-05,5.828915e-05,2.1443382e-05,0.99990547,d
test_0017.jpg,0.999653,5.8274432e-05,0.00023047985,5.8274432e-05,a
test_0018.jpg,0.00037364123,0.92337996,0.0004506974,0.07579564,b
test_0019.jpg,0.00012306745,0.99722594,0.002471876,0.00017906209,b
test_0020.jpg,2.2602858e-06,0.9999807,1.0129897e-05,6.96217e-06,b
test_0021.jpg,1.4449755e-07,0.99999666,1.2098631e-06,1.9947272e-06,b
test_0022.jpg,0.00015833386,0.00015833386,0.99919564,0.00048770267,c
test_0023.jpg,2.6995676e-07,0.99999595,2.2603203e-06,1.553494e-06,b
test_0024.jpg,0.9990151,0.00017938335,0.0006261094,0.00017938335,a
test_0025.jpg,0.0045636613,0.5274875,0.002442752,0.46550608,b
test_0026.jpg,5.4221696e-06,6.9622033e-06,2.2602965e-06,0.99998546,d
test_0027.jpg,1.7603322e-06,1.9947179e-06,4.2228176e-06,0.999992,d
test_0028.jpg,0.43640292,0.56035244,0.0022900323,0.0009546276,b
test_0029.jpg,1.6536542e-06,4.785007e-06,0.9999769,1.6701315e-05,c
test_0030.jpg,6.083515e-07,0.999987,6.9622142e-06,5.4221778e-06,b
test_0031.jpg,0.9992182,0.0002033093,2.5847878e-05,0.000552652,a
test_0032.jpg,2.4299314e-05,0.99993753,2.144407e-05,1.6700656e-05,b
test_0033.jpg,0.004303975,0.6387665,0.3419071,0.01502235,b
test_0034.jpg,1.147839e-05,2.1444455e-05,1.147839e-05,0.99995553,d
test_0035.jpg,2.2602833e-06,1.3709312e-06,1.670136e-05,0.9999796,d
test_0036.jpg,3.7265368e-06,3.2886571e-06,0.99996877,2.4300072e-05,c
test_0037.jpg,0.0021255354,0.0749277,0.010140363,0.91280633,d
test_0038.jpg,0.99947864,0.00037993077,9.606154e-05,4.537626e-05,a
test_0039.jpg,1.1979252e-07,0.99999535,1.2098616e-06,3.2887447e-06,b
test_0040.jpg,0.99994004,3.535538e-05,2.1444122e-05,3.0893186e-06,a
test_0041.jpg,0.9999559,3.120151e-05,2.7263575e-06,1.0129646e-05,a
test_0042.jpg,0.99483854,0.0046070167,0.00025991007,0.00029451674,a
