id,p_a,p_b,p_c,p_d,answer
test_0001.jpg,0.00012338038,0.0001088828,6.142747e-06,0.9997615,d
test_0002.jpg,0.0013133102,0.9898475,0.00027528478,0.008563858,b
test_0003.jpg,2.7531718e-05,4.494429e-06,0.9998281,0.0001398176,c
test_0004.jpg,0.9997638,9.608895e-05,0.00010888305,3.1195515e-05,a
test_0005.jpg,0.0013228294,0.9970221,0.00062486035,0.0010302205,b
test_0006.jpg,0.00051787787,0.99673426,0.0024706572,0.00027720004,b
test_0007.jpg,0.9999733,5.4221036e-06,7.411137e-06,1.3845826e-05,a
test_0008.jpg,3.320994e-05,0.9998387,6.204434e-05,6.604585e-05,b
test_0009.jpg,0.0019871958,0.008366406,0.5865304,0.40311605,c
test_0010.jpg,5.4749034e-05,0.99974924,3.7628426e-05,0.00015842158,b
test_0011.jpg,0.017977899,0.00042279964,3.932649e-05,0.98156,d
test_0012.jpg,1.0676505e-06,0.9999498,1.1478324e-05,3.7635975e-05,b
test_0013.jpg,0.9998235,1.7775732e-05,1.8922165e-05,0.00013981696,a
test_0014.jpg,0.0035744167,0.004589642,0.99108666,0.0007492384,c
test_0015.jpg,0.00041558463,0.00018441454,0.14795835,0.8514416,d
test_0016.jpg,0.00045705348,0.0024708079,0.00027721695,0.996795,d
test_0017.jpg,0.9997075,5.8277616e-05,0.00017950768,5.4746753e-05,a
test_0018.jpg,0.00026109873,0.99938834,5.4729273e-05,0.00029586366,b
test_0019.jpg,0.000552655,0.9386838,0.060008045,0.00075538986,b
test_0020.jpg,7.888346e-06,0.9998759,2.0143598e-05,9.609973e-05,b
test_0021.jpg,2.7262076e-06,0.99990094,1.1477763e-05,8.480983e-05,b
test_0022.jpg,0.00017925,0.00037947227,0.9982724,0.0011688567,c
test_0023.jpg,5.771708e-06,0.99995756,1.0782971e-05,2.5867004e-05,b
test_0024.jpg,0.99908435,0.00015831622,0.0006261528,0.00013124877,a
test_0025.jpg,0.0010785346,0.017959215,0.00042236023,0.9805399,d
test_0026.jpg,5.4757642e-05,2.9309655e-05,9.515452e-06,0.9999064,d
test_0027.jpg,1.892459e-05,5.0934846e-06,2.4299654e-05,0.9999516,d
test_0028.jpg,0.5308798,0.46849978,0.00037701725,0.00024342063,a
test_0029.jpg,1.473832e-05,9.515775e-06,0.9999404,3.5355395e-05,c
test_0030.jpg,3.966796e-06,0.99994814,1.6700835e-05,3.1201267e-05,b
test_0031.jpg,0.9992442,0.0002303856,3.7609418e-05,0.00048772636,a
test_0032.jpg,6.203922e-05,0.9997563,5.8280457e-05,0.00012337972,b
test_0033.jpg,0.014620315,0.33275685,0.6216716,0.030951206,c
test_0034.jpg,0.000115886935,0.00013978632,0.00013978632,0.9996045,d
test_0035.jpg,3.1200005e-05,2.9020525e-06,5.828928e-05,0.9999076,d
test_0036.jpg,2.5866393e-05,4.7848016e-06,0.99993396,3.5355166e-05,c
test_0037.jpg,0.00083740184,0.0058127204,0.015800614,0.9775493,d
test_0038.jpg,0.9992889,0.00043043625,0.0002452552,3.533236e-05,a
test_0039.jpg,3.2885569e-06,0.99993825,6.961875e-06,5.1441686e-05,b
test_0040.jpg,0.9999596,2.2827597e-05,1.0129684e-05,7.4110353e-06,a
test_0041.jpg,0.9995369,0.00033530727,3.762043e-05,9.024673e-05,a
test_0042.jpg,0.99947923,0.000379931,7.481285e-05,6.6022105e-05,a
test_0043.jpg,2.4291976e-05,4.7833737e-06,0.9996356,0.0003353404,c
test_0044.jpg,0.99994814,1.4738434e-05,2.1444297e-05,1.5688984e-05,a
test_0045.jpg,0.9974598,0.0009095656,0.00013103535,0.0014996201,a
test_0046.jpg,0.999788,5.1433955e-05,5.82823e-05,0.00010228863,a
test_0047.jpg,3.1201464e-05,5.4220013e-06,0.99995446,8.939369e-06,c
test_0048.jpg,1.3842497e-05,0.9997328,2.282242e-05,0.00023049826,b
test_0049.jpg,0.00011520782,0.00022911809,0.005909033,0.99374664,d
test_0050.jpg,0.04304611,0.0012211242,0.86460423,0.09112861,c
test_0051.jpg,6.5403847e-06,5.771869e-06,2.2602965e-06,0.99998546,d
test_0052.jpg,1.6701286e-05,3.2886783e-06,4.784999e-06,0.9999752,d
test_0053.jpg,0.9830958,0.00061613234,0.00039780495,0.015890263,a
test_0054.jpg,0.007568396,0.99126434,0.00058361207,0.00058361207,b
test_0055.jpg,2.726403e-06,0.9999726,6.9621137e-06,1.7778382e-05,b
test_0056.jpg,0.00028256042,0.9544517,0.008257625,0.037008107,b
test_0057.jpg,0.0013898859,0.6763574,0.31948864,0.0027641181,b
test_0058.jpg,0.00012336191,0.00011588779,0.00014880286,0.9996119,d
test_0059.jpg,2.9022854e-06,1.8738561e-06,0.99998784,7.411245e-06,c
test_0060.jpg,0.99996865,5.0935714e-06,7.4111026e-06,1.8924913e-05,a
