id,p_a,p_b,p_c,p_d,answer
test_0001.jpg,0.0019237964,0.0013222046,0.00020276665,0.99655116,d
test_0002.jpg,0.44853154,0.5082528,0.006397959,0.03681771,b
test_0003.jpg,0.000625458,7.470032e-05,0.99797577,0.0013240947,c
test_0004.jpg,0.9977049,0.0003346927,0.00169971,0.0002606589,a
test_0005.jpg,0.0016959308,0.99548656,0.0013207921,0.0014966535,b
test_0006.jpg,0.0031137946,0.9783252,0.015813153,0.0027479143,b
test_0007.jpg,0.99990976,1.8923798e-05,3.120007e-05,4.0061677e-05,a
test_0008.jpg,0.00020259287,0.99569714,0.0021780788,0.0019221477,b
test_0009.jpg,0.005722522,0.2433278,0.1672366,0.58371305,d
test_0010.jpg,0.00023026837,0.9987357,0.00023026837,0.0008037156,b
test_0011.jpg,0.16367757,0.003849328,0.0012496937,0.83122337,d
test_0012.jpg,1.8918301e-05,0.99961925,0.00015840099,0.00020339091,b
test_0013.jpg,0.99946326,2.7521672e-05,2.1433898e-05,0.00048783328,a
test_0014.jpg,0.009533496,0.972443,0.012241251,0.005782357,b
test_0015.jpg,0.013547247,0.0026676112,0.14564662,0.8381385,d
test_0016.jpg,0.0065374114,0.020136645,0.0030880547,0.9702379,d
test_0017.jpg,0.99733055,0.00013946833,0.0014994257,0.0010305393,a
test_0018.jpg,0.007939255,0.5565848,0.0020073582,0.43346867,b
test_0019.jpg,0.00066024123,0.9296889,0.06734644,0.0023044685,b
test_0020.jpg,0.00020320225,0.9986921,0.00055236096,0.00055236096,b
test_0021.jpg,1.6698714e-05,0.99982125,6.60447e-05,9.609447e-05,b
test_0022.jpg,0.004351428,0.0029906894,0.93964666,0.05301124,c
test_0023.jpg,3.5347526e-05,0.9997179,0.000123375,0.000123375,b
test_0024.jpg,0.993856,0.00037779348,0.0046024667,0.0011636857,a
test_0025.jpg,0.04010641,0.91281766,0.006969448,0.04010641,b
test_0026.jpg,0.00029589847,7.481485e-05,0.00012334883,0.9995059,d
test_0027.jpg,0.00020338982,2.4291448e-05,0.00015840014,0.99961394,d
test_0028.jpg,0.24383527,0.7510655,0.002390477,0.0027087652,b
test_0029.jpg,9.603729e-05,5.1405063e-05,0.99922633,0.0006262418,c
test_0030.jpg,3.534356e-05,0.9996057,0.0001794894,0.0001794894,b
test_0031.jpg,0.98270863,0.0011506334,0.000256741,0.015884005,a
test_0032.jpg,0.00023036927,0.99917334,0.0002610426,0.00033518532,b
test_0033.jpg,0.0029590277,0.16155742,0.8204563,0.015027182,c
test_0034.jpg,0.00015835877,0.0001088383,0.000379883,0.9993529,d
test_0035.jpg,9.608947e-05,1.147625e-05,0.00012338131,0.99976915,d
test_0036.jpg,9.603241e-05,1.8909903e-05,0.9991755,0.0007095889,c
test_0037.jpg,0.00500052,0.019777441,0.39724052,0.57798153,d
test_0038.jpg,0.999255,0.00017942642,0.0002303881,0.0003352127,a
test_0039.jpg,5.1415478e-05,0.9994288,0.00013976176,0.00037991186,b
test_0040.jpg,0.9991897,0.0001794147,0.00029580484,0.0003351908,a
test_0041.jpg,0.9997433,5.8279697e-05,1.8920648e-05,0.0001795141,a
